"epiweek_recolec","count_all_resul_inf_a_all","count_all_resul_rsv_all","count_all_resul_inf_b_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_neg_resul_inf_a_all","count_neg_resul_rsv_all","count_neg_resul_inf_b_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_pos_resul_inf_a_all","count_pos_resul_rsv_all","count_pos_resul_inf_b_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","pct_pos_resul_inf_a_all","pct_pos_resul_rsv_all","pct_pos_resul_inf_b_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all"
2020-06-29,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,2,2,2,1,1,2,2,2,0,0,0,0,0,1,1,0,0,0,100,100
2020-08-03,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,100
2020-09-07,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,100
2020-09-14,2,2,2,0,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,50
2020-09-21,2,2,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,100
2020-10-05,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-12,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-19,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-09,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-16,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2020-11-23,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-30,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
2020-12-07,3,3,3,1,2,3,3,3,0,2,0,0,0,1,0,0,0,0,100,0
2020-12-14,3,3,3,1,2,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0
2021-01-18,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-01-25,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-02-01,2,2,2,0,1,1,0,1,0,1,0,1,0,0,0,0,100,0,0,0
2021-02-08,4,4,4,0,3,3,3,3,0,2,0,0,0,0,1,0,0,0,0,33.3333333333333
2021-02-15,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,5,5,5,0,5,5,5,5,0,3,0,0,0,0,2,0,0,0,0,40
2021-03-01,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-08,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-15,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-22,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-29,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
2021-04-05,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2021-04-12,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2021-04-26,6,6,6,1,5,6,5,6,1,5,0,1,0,0,0,0,16.6666666666667,0,0,0
2021-05-03,3,3,3,0,3,3,3,3,0,2,0,0,0,0,1,0,0,0,0,33.3333333333333
2021-05-10,6,6,6,0,6,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0
2021-05-17,5,5,5,0,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0
2021-05-24,8,8,8,0,8,8,7,8,0,6,0,1,0,0,2,0,12.5,0,0,25
2021-05-31,2,2,2,0,2,2,1,2,0,1,0,1,0,0,1,0,50,0,0,50
2021-06-07,5,5,5,0,5,5,5,5,0,2,0,0,0,0,3,0,0,0,0,60
2021-06-14,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-06-21,8,8,8,2,6,8,8,8,2,1,0,0,0,0,5,0,0,0,0,83.3333333333333
2021-06-28,3,3,3,0,3,3,2,3,0,2,0,1,0,0,1,0,33.3333333333333,0,0,33.3333333333333
2021-07-05,2,2,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,100
2021-07-12,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
2021-07-19,5,5,5,0,5,5,5,5,0,2,0,0,0,0,3,0,0,0,0,60
2021-07-26,5,5,5,1,4,5,5,5,1,4,0,0,0,0,0,0,0,0,0,0
2021-08-09,5,5,5,0,5,5,4,5,0,2,0,1,0,0,3,0,20,0,0,60
2021-08-16,8,8,8,0,8,8,8,8,0,6,0,0,0,0,2,0,0,0,0,25
2021-08-23,4,4,4,0,4,4,4,4,0,3,0,0,0,0,1,0,0,0,0,25
2021-08-30,7,7,7,1,6,7,7,7,1,2,0,0,0,0,4,0,0,0,0,66.6666666666667
2021-09-06,2,2,2,0,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,50
2021-09-13,2,2,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,100
2021-09-20,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2021-09-27,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2021-10-04,6,6,6,0,6,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0
2021-10-11,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,100
2021-10-25,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-11-22,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2021-11-29,3,3,3,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0
2021-12-06,3,3,3,0,3,3,3,2,0,2,0,0,1,0,1,0,0,33.3333333333333,0,33.3333333333333
